Label,Resin,ResinAmount,Solvent,SolventAmount,dD,dP,dH,Initiator,Result,ResultRevised,LabId,PrepTaskId,PrepByThread,PrepStart,PrepEnd,PrepProtocolId,ImageTaskId,ImageByThread,ImageStart,ImageEnd,ImageProtocolId
R12:S14-r5.00:s5.00,R12,5.0,S14,5.0,15.6,5.6,9.8,exploit,Y,0,id:qdkmxzkM1nGp,prep:0d957f1c550162d19ebd039190714785,thread1,2024-09-16T00:44:47.758119-04:00,2024-09-16T08:31:00-04:00,id:rea9jl5v3Yqp,image:fc75bb1a93178d7bf01d86dbc8203e9a,thread1,2024-09-18T02:51:41.747934-04:00,2024-09-18T03:28:21.971621-04:00,id:O81aEBvPJ80X
R12:S11-r5.00:s5.00,R12,5.0,S11,5.0,15.8,8.8,19.4,exploit,Y,0,id:n0k9mGkMKjOp,prep:0d957f1c550162d19ebd039190714785,thread1,2024-09-16T00:44:47.758119-04:00,2024-09-16T08:31:00-04:00,id:rea9jl5v3Yqp,image:fc75bb1a93178d7bf01d86dbc8203e9a,thread1,2024-09-18T02:51:41.747934-04:00,2024-09-18T03:28:21.971621-04:00,id:O81aEBvPJ80X
R12:S13-r5.00:s5.00,R12,5.0,S13,5.0,16.8,0.0,0.2,exploit,N,0,id:XnlV5jlEOqNn,prep:0d957f1c550162d19ebd039190714785,thread1,2024-09-16T00:44:47.758119-04:00,2024-09-16T08:31:00-04:00,id:rea9jl5v3Yqp,image:fc75bb1a93178d7bf01d86dbc8203e9a,thread1,2024-09-18T02:51:41.747934-04:00,2024-09-18T03:28:21.971621-04:00,id:O81aEBvPJ80X
R12:S17-r5.00:s5.00,R12,5.0,S17,5.0,18.0,12.3,7.2,exploit,Y,0,id:R8e1PjeGYdBJ,prep:0d957f1c550162d19ebd039190714785,thread1,2024-09-16T00:44:47.758119-04:00,2024-09-16T08:31:00-04:00,id:rea9jl5v3Yqp,image:fc75bb1a93178d7bf01d86dbc8203e9a,thread1,2024-09-18T02:51:41.747934-04:00,2024-09-18T03:28:21.971621-04:00,id:O81aEBvPJ80X
R12:S19-r5.00:s5.00,R12,5.0,S19,5.0,17.5,1.8,9.0,exploit,Y,0,id:XnlV5jlEOqDM,prep:0d957f1c550162d19ebd039190714785,thread1,2024-09-16T00:44:47.758119-04:00,2024-09-16T08:31:00-04:00,id:rea9jl5v3Yqp,image:fc75bb1a93178d7bf01d86dbc8203e9a,thread1,2024-09-18T02:51:41.747934-04:00,2024-09-18T03:28:21.971621-04:00,id:O81aEBvPJ80X
R12:S22-r5.00:s5.00,R12,5.0,S22,5.0,14.5,2.9,4.6,exploit,N,0,id:9RdZXvdL9AP6,prep:0d957f1c550162d19ebd039190714785,thread1,2024-09-16T00:44:47.758119-04:00,2024-09-16T08:31:00-04:00,id:rea9jl5v3Yqp,image:fc75bb1a93178d7bf01d86dbc8203e9a,thread1,2024-09-18T02:51:41.747934-04:00,2024-09-18T03:28:21.971621-04:00,id:O81aEBvPJ80X
R12:S4:S5-r5.00:s3.50:s1.50,R12,5.0,S4:S5,3.50:1.50,18.59,18.0,4.7,exploit,Y,0,id:7X104v1zPO6k,prep:345b17812f6c35b693f72c5d7d342b92,thread1,2024-09-21T13:55:46.395600-04:00,2024-09-23T19:07:41-04:00,id:J8AY5jGkkoJE,image:85ec8e879141c3811cf441a5fa0499e3,thread1,2024-09-24T19:25:46.656317-04:00,2024-09-26T05:29:40.796176-04:00,id:wqW9BPz5NWGJ
R12:S12:S14-r5.00:s3.00:s2.00,R12,5.0,S12:S14,3.00:2.00,15.84,6.32,14.36,exploit,Y,0,id:KBL5DvLpRjLk,prep:345b17812f6c35b693f72c5d7d342b92,thread1,2024-09-21T13:55:46.395600-04:00,2024-09-23T19:07:41-04:00,id:J8AY5jGkkoJE,image:85ec8e879141c3811cf441a5fa0499e3,thread1,2024-09-24T19:25:46.656317-04:00,2024-09-26T05:29:40.796176-04:00,id:wqW9BPz5NWGJ
R12:S13:S14-r5.00:s1.50:s3.50,R12,5.0,S13:S14,1.50:3.50,15.96,3.92,6.92,exploit,Y,0,id:jLq9jXqMA8OZ,prep:345b17812f6c35b693f72c5d7d342b92,thread1,2024-09-21T13:55:46.395600-04:00,2024-09-23T19:07:41-04:00,id:J8AY5jGkkoJE,image:85ec8e879141c3811cf441a5fa0499e3,thread1,2024-09-24T19:25:46.656317-04:00,2024-09-26T05:29:40.796176-04:00,id:wqW9BPz5NWGJ
R12:S3:S10-r5.00:s2.00:s3.00,R12,5.0,S3:S10,2.00:3.00,16.68,2.78,4.58,exploit,Y,0,id:8qZ1VWZlzGZX,prep:345b17812f6c35b693f72c5d7d342b92,thread1,2024-09-21T13:55:46.395600-04:00,2024-09-23T19:07:41-04:00,id:J8AY5jGkkoJE,image:85ec8e879141c3811cf441a5fa0499e3,thread1,2024-09-24T19:25:46.656317-04:00,2024-09-26T05:29:40.796176-04:00,id:wqW9BPz5NWGJ
R12:S17:S22-r5.00:s1.50:s3.50,R12,5.0,S17:S22,1.50:3.50,15.55,5.72,5.38,exploit,Y,0,id:bq9LA09raY9v,prep:345b17812f6c35b693f72c5d7d342b92,thread1,2024-09-21T13:55:46.395600-04:00,2024-09-23T19:07:41-04:00,id:J8AY5jGkkoJE,image:85ec8e879141c3811cf441a5fa0499e3,thread1,2024-09-24T19:25:46.656317-04:00,2024-09-26T05:29:40.796176-04:00,id:wqW9BPz5NWGJ
R12:S5:S10-r5.00:s3.50:s1.50,R12,5.0,S5:S10,3.50:1.50,15.45,13.71,6.16,exploit,Y,0,id:rea9jlaMZ0ao,prep:345b17812f6c35b693f72c5d7d342b92,thread1,2024-09-21T13:55:46.395600-04:00,2024-09-23T19:07:41-04:00,id:J8AY5jGkkoJE,image:85ec8e879141c3811cf441a5fa0499e3,thread1,2024-09-24T19:25:46.656317-04:00,2024-09-26T05:29:40.796176-04:00,id:wqW9BPz5NWGJ
R12:S25-r5.00:s5.00,R12,5.0,S25,5.00,15.5,16.0,42.3,required,N,0,id:n0k9mGOzkLjn,prep:adfa26f27a05adb1304f61bd18031c6b,thread1,2024-11-09T01:32:50.885379-05:00,2024-11-10T01:58:09-05:00,id:4pO6dMmOZY1B,image:bbe35d6926cef75e00238c374ff0d0c5,thread1,2024-11-12T12:54:49.750736-05:00,2024-11-12T14:12:30.841827-05:00,id:n0k9mGOkEEdr
R12:S15:S22-r5.00:s2.00:s3.00,R12,5.0,S15:S22,2.00:3.00,15.42,4.02,5.96,exploit,Y,0,id:54n6evJKn1q9,prep:adfa26f27a05adb1304f61bd18031c6b,thread1,2024-11-09T01:32:50.885379-05:00,2024-11-10T01:58:09-05:00,id:4pO6dMmOZY1B,image:bbe35d6926cef75e00238c374ff0d0c5,thread1,2024-11-12T12:54:49.750736-05:00,2024-11-12T14:12:30.841827-05:00,id:n0k9mGOkEEdr
R12:S6:S25-r5.00:s1.50:s3.50,R12,5.0,S6:S25,1.50:3.50,15.26,14.89,36.3,exploit,N,0,id:WNa4ZjMRa9XZ,prep:adfa26f27a05adb1304f61bd18031c6b,thread1,2024-11-09T01:32:50.885379-05:00,2024-11-10T01:58:09-05:00,id:4pO6dMmOZY1B,image:bbe35d6926cef75e00238c374ff0d0c5,thread1,2024-11-12T12:54:49.750736-05:00,2024-11-12T14:12:30.841827-05:00,id:n0k9mGOkEEdr
R12:S12:S16-r5.00:s4.50:s0.50,R12,5.0,S12:S16,4.50:0.50,16.1,6.85,16.37,exploit,Y,0,id:1ZA60vzwAopa,prep:adfa26f27a05adb1304f61bd18031c6b,thread1,2024-11-09T01:32:50.885379-05:00,2024-11-10T01:58:09-05:00,id:4pO6dMmOZY1B,image:bbe35d6926cef75e00238c374ff0d0c5,thread1,2024-11-12T12:54:49.750736-05:00,2024-11-12T14:12:30.841827-05:00,id:n0k9mGOkEEdr
R12:S23-r5.00:s5.00,R12,5.0,S23,5.00,17.4,11.3,27.2,required,N,1,id:AEqRl9x5qApp,prep:ec6438e847ecdff2aac207c85d4e8183,thread1,2024-11-15T20:53:30.537165-05:00,2024-11-17T17:23:39-05:00,id:BYDOjvRDxXAr,image:86c011bd1fe90fb0048e0e3d1642a418,thread1,2024-11-18T18:10:14.743457-05:00,2024-11-19T11:45:09.005127-05:00,id:mnk9jOJJ0veO
R12:S11:S23-r5.00:s2.50:s2.50,R12,5.0,S11:S23,2.50:2.50,16.6,10.05,23.3,exploit,N,1,id:o1k9jAoKk3L7,prep:ec6438e847ecdff2aac207c85d4e8183,thread1,2024-11-15T20:53:30.537165-05:00,2024-11-17T17:23:39-05:00,id:BYDOjvRDxXAr,image:86c011bd1fe90fb0048e0e3d1642a418,thread1,2024-11-18T18:10:14.743457-05:00,2024-11-19T11:45:09.005127-05:00,id:mnk9jOJJ0veO
R12:S10:S13-r5.00:s4.50:s0.50,R12,5.0,S10:S13,4.50:0.50,15.9,3.33,5.69,exploit,Y,0,id:xRO9n3EvO04x,prep:ec6438e847ecdff2aac207c85d4e8183,thread1,2024-11-15T20:53:30.537165-05:00,2024-11-17T17:23:39-05:00,id:BYDOjvRDxXAr,image:86c011bd1fe90fb0048e0e3d1642a418,thread1,2024-11-18T18:10:14.743457-05:00,2024-11-19T11:45:09.005127-05:00,id:mnk9jOJJ0veO
R12:S4:S8-r5.00:s0.50:s4.50,R12,5.0,S4:S8,0.50:4.50,17.66,5.49,12.56,exploit,Y,0,id:9RdZXvNKdpAl,prep:ec6438e847ecdff2aac207c85d4e8183,thread1,2024-11-15T20:53:30.537165-05:00,2024-11-17T17:23:39-05:00,id:BYDOjvRDxXAr,image:86c011bd1fe90fb0048e0e3d1642a418,thread1,2024-11-18T18:10:14.743457-05:00,2024-11-19T11:45:09.005127-05:00,id:mnk9jOJJ0veO
R12:S11:S25-r5.00:s1.00:s4.00,R12,5.0,S11:S25,1.00:4.00,15.56,14.56,37.72,exploit,N,1,id:3em6Zvr9mnwz,prep:ec6438e847ecdff2aac207c85d4e8183,thread1,2024-11-15T20:53:30.537165-05:00,2024-11-17T17:23:39-05:00,id:BYDOjvRDxXAr,image:86c011bd1fe90fb0048e0e3d1642a418,thread1,2024-11-18T18:10:14.743457-05:00,2024-11-19T11:45:09.005127-05:00,id:mnk9jOJJ0veO
R12:S17:S23-r5.00:s1.00:s4.00,R12,5.0,S17:S23,1.00:4.00,17.52,11.5,23.2,exploit,N,1,id:D8KAEvDdK9aY,prep:ec6438e847ecdff2aac207c85d4e8183,thread1,2024-11-15T20:53:30.537165-05:00,2024-11-17T17:23:39-05:00,id:BYDOjvRDxXAr,image:86c011bd1fe90fb0048e0e3d1642a418,thread1,2024-11-18T18:10:14.743457-05:00,2024-11-19T11:45:09.005127-05:00,id:mnk9jOJJ0veO
